iter	Passed	Remaining
0	0	49
1	1	48
2	1	46
3	2	46
4	2	43
5	3	40
6	3	39
7	4	39
8	4	38
9	6	46
10	7	47
11	8	49
12	9	46
13	9	44
14	10	45
15	11	47
16	12	45
17	12	44
18	13	43
19	13	41
20	14	40
21	14	38
22	15	38
23	15	36
24	16	35
25	16	34
26	17	33
27	17	32
28	17	31
29	18	30
30	18	29
31	19	28
32	19	27
33	20	27
34	20	26
35	21	25
36	21	24
37	21	24
38	22	23
39	22	22
40	22	21
41	22	20
42	23	19
43	23	19
44	23	18
45	24	18
46	24	17
47	25	16
48	25	16
49	25	15
50	26	15
51	26	14
52	27	13
53	27	13
54	28	12
55	28	12
56	28	11
57	29	11
58	29	10
59	30	10
60	30	9
61	30	8
62	31	8
63	31	7
64	32	7
65	32	6
66	33	6
67	33	5
68	34	5
69	34	4
70	34	4
71	35	3
72	35	3
73	36	2
74	36	2
75	37	1
76	37	1
77	37	0
78	38	0
79	38	0
