[min90] hizli tarama basladi
[min90/min90_sentetik_2500_per_class_pima/all_features/logistic_regression] min=0.9589 acc=0.9658 auc=0.9909
[min90/min90_sentetik_2500_per_class_pima/all_features/gaussian_nb] min=0.9550 acc=0.9618 auc=0.9888
[min90/min90_sentetik_2500_per_class_pima/all_features/knn] min=0.9609 acc=0.9677 auc=0.9923
[min90/min90_sentetik_2500_per_class_pima/all_features/svm_rbf] min=0.9589 acc=0.9638 auc=0.9958
[min90/min90_sentetik_2500_per_class_pima/all_features/random_forest] min=0.9609 acc=0.9658 auc=0.9967
[min90/min90_sentetik_2500_per_class_pima/all_features/extra_trees] min=0.9628 acc=0.9677 auc=0.9965
[min90/min90_sentetik_2500_per_class_pima/all_features/gradient_boosting] min=0.9393 acc=0.9618 auc=0.9953
[min90/min90_sentetik_2500_per_class_pima/all_features/hist_gradient_boosting] min=0.9511 acc=0.9628 auc=0.9945
[min90/min90_sentetik_2500_per_class_pima/all_features/adaboost] min=0.9550 acc=0.9667 auc=0.9938
[min90/min90_sentetik_2500_per_class_pima/all_features/mlp] min=0.9569 acc=0.9658 auc=0.9925
[min90/min90_sentetik_2500_per_class_pima/all_features/xgboost] min=0.9648 acc=0.9667 auc=0.9952
[min90/min90_sentetik_2500_per_class_pima/all_features/lightgbm] min=0.9589 acc=0.9667 auc=0.9955
[min90/min90_sentetik_2500_per_class_pima/all_features/soft_voting_rf_et_hgb] min=0.9569 acc=0.9648 auc=0.9965
[min90/min90_sentetik_2500_per_class_pima/all_features/soft_voting_xgb_lgbm_et] min=0.9667 acc=0.9677 auc=0.9962
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/logistic_regression] min=0.9589 acc=0.9638 auc=0.9909
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/gaussian_nb] min=0.9530 acc=0.9609 auc=0.9892
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/knn] min=0.9569 acc=0.9667 auc=0.9927
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/svm_rbf] min=0.9628 acc=0.9638 auc=0.9955
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/random_forest] min=0.9589 acc=0.9667 auc=0.9966
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/extra_trees] min=0.9628 acc=0.9677 auc=0.9966
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/gradient_boosting] min=0.9393 acc=0.9618 auc=0.9956
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/hist_gradient_boosting] min=0.9589 acc=0.9609 auc=0.9941
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/adaboost] min=0.9452 acc=0.9618 auc=0.9941
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/mlp] min=0.9550 acc=0.9589 auc=0.9905
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/xgboost] min=0.9569 acc=0.9658 auc=0.9950
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/lightgbm] min=0.9628 acc=0.9638 auc=0.9957
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/soft_voting_rf_et_hgb] min=0.9609 acc=0.9638 auc=0.9965
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness/soft_voting_xgb_lgbm_et] min=0.9530 acc=0.9648 auc=0.9963
[min90/min90_sentetik_2500_per_class_pima/no_insulin/logistic_regression] min=0.9589 acc=0.9658 auc=0.9909
[min90/min90_sentetik_2500_per_class_pima/no_insulin/gaussian_nb] min=0.9550 acc=0.9618 auc=0.9900
[min90/min90_sentetik_2500_per_class_pima/no_insulin/knn] min=0.9589 acc=0.9658 auc=0.9897
[min90/min90_sentetik_2500_per_class_pima/no_insulin/svm_rbf] min=0.9550 acc=0.9638 auc=0.9951
[min90/min90_sentetik_2500_per_class_pima/no_insulin/random_forest] min=0.9628 acc=0.9658 auc=0.9960
[min90/min90_sentetik_2500_per_class_pima/no_insulin/extra_trees] min=0.9609 acc=0.9628 auc=0.9960
[min90/min90_sentetik_2500_per_class_pima/no_insulin/gradient_boosting] min=0.9550 acc=0.9628 auc=0.9944
[min90/min90_sentetik_2500_per_class_pima/no_insulin/hist_gradient_boosting] min=0.9511 acc=0.9638 auc=0.9933
[min90/min90_sentetik_2500_per_class_pima/no_insulin/adaboost] min=0.9530 acc=0.9648 auc=0.9928
[min90/min90_sentetik_2500_per_class_pima/no_insulin/mlp] min=0.9491 acc=0.9628 auc=0.9908
[min90/min90_sentetik_2500_per_class_pima/no_insulin/xgboost] min=0.9609 acc=0.9667 auc=0.9933
[min90/min90_sentetik_2500_per_class_pima/no_insulin/lightgbm] min=0.9628 acc=0.9658 auc=0.9943
[min90/min90_sentetik_2500_per_class_pima/no_insulin/soft_voting_rf_et_hgb] min=0.9628 acc=0.9658 auc=0.9960
[min90/min90_sentetik_2500_per_class_pima/no_insulin/soft_voting_xgb_lgbm_et] min=0.9628 acc=0.9667 auc=0.9958
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/logistic_regression] min=0.9589 acc=0.9638 auc=0.9909
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/gaussian_nb] min=0.9609 acc=0.9628 auc=0.9908
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/knn] min=0.9530 acc=0.9677 auc=0.9915
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/svm_rbf] min=0.9609 acc=0.9618 auc=0.9951
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/random_forest] min=0.9569 acc=0.9638 auc=0.9959
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/extra_trees] min=0.9609 acc=0.9658 auc=0.9959
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/gradient_boosting] min=0.9511 acc=0.9618 auc=0.9938
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/hist_gradient_boosting] min=0.9569 acc=0.9618 auc=0.9924
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/adaboost] min=0.9589 acc=0.9648 auc=0.9926
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/mlp] min=0.9609 acc=0.9628 auc=0.9929
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/xgboost] min=0.9589 acc=0.9648 auc=0.9931
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/lightgbm] min=0.9609 acc=0.9638 auc=0.9940
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/soft_voting_rf_et_hgb] min=0.9569 acc=0.9618 auc=0.9959
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_no_insulin/soft_voting_xgb_lgbm_et] min=0.9589 acc=0.9638 auc=0.9954
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/logistic_regression] min=0.9609 acc=0.9648 auc=0.9913
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/gaussian_nb] min=0.9530 acc=0.9618 auc=0.9864
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/knn] min=0.9550 acc=0.9687 auc=0.9920
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/svm_rbf] min=0.9589 acc=0.9697 auc=0.9950
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/random_forest] min=0.9569 acc=0.9667 auc=0.9963
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/extra_trees] min=0.9589 acc=0.9658 auc=0.9964
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/gradient_boosting] min=0.9609 acc=0.9648 auc=0.9955
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/hist_gradient_boosting] min=0.9550 acc=0.9599 auc=0.9938
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/adaboost] min=0.9550 acc=0.9628 auc=0.9935
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/mlp] min=0.9648 acc=0.9658 auc=0.9904
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/xgboost] min=0.9569 acc=0.9618 auc=0.9954
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/lightgbm] min=0.9589 acc=0.9618 auc=0.9953
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/soft_voting_rf_et_hgb] min=0.9569 acc=0.9599 auc=0.9963
[min90/min90_sentetik_2500_per_class_pima/clinical_interactions/soft_voting_xgb_lgbm_et] min=0.9589 acc=0.9609 auc=0.9961
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/logistic_regression] min=0.9609 acc=0.9648 auc=0.9912
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/gaussian_nb] min=0.9530 acc=0.9618 auc=0.9874
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/knn] min=0.9589 acc=0.9667 auc=0.9918
[min90/min90_sentetik_2500_per_class_pima/no_skinthickness_clinical_interactions/svm_rbf] min=0.9609 acc=0.9697 auc=0.9942
